date,close,btc_vol_30d,drawdown,macro_pressure,risk_regime,vix,us10y
2026-01-16,82333.1015625,27.471089077240617,-0.8684924883736425,73.82259327301387,MEDIUM,15.859999656677246,4.230999946594238
2026-01-17,81936.765625,27.397175591704553,-0.8684924883736425,67.8553297699663,LOW,15.859999656677246,4.230999946594238
2026-01-18,80549.578125,26.404693573203204,-0.8684924883736425,74.13264183582747,MEDIUM,15.859999656677246,4.230999946594238
2026-01-19,79517.609375,26.9292868125049,-0.8684924883736425,86.59882746264812,MEDIUM,15.859999656677246,4.230999946594238
2026-01-20,75304.7421875,33.01710035878434,-0.8684924883736425,99.99999999653599,MEDIUM,20.09000015258789,4.295000076293945
2026-01-21,76567.3671875,33.450182702123,-0.8684924883736425,47.820137694747864,LOW,16.899999618530273,4.252999782562256
2026-01-22,76112.6875,33.074415904244866,-0.8684924883736425,37.665472196698026,LOW,15.640000343322754,4.249000072479248
2026-01-23,75681.078125,33.137275846497396,-0.8684924883736425,38.476054325218215,LOW,16.09000015258789,4.238999843597412
2026-01-24,75332.4375,33.12656192851054,-0.8684924883736425,38.487022267259135,LOW,16.09000015258789,4.238999843597412
2026-01-25,72992.5859375,34.92784071639869,-0.8684924883736425,21.842036740628007,LOW,16.09000015258789,4.238999843597412
2026-01-26,74336.8203125,35.48383790608875,-0.32080954908115616,26.49150968629026,LOW,16.149999618530273,4.2129998207092285
2026-01-27,74125.9453125,35.497671525038236,-0.40672659001630646,31.713162372800813,LOW,16.350000381469727,4.2230000495910645
2026-01-28,74445.3046875,35.407270527629436,-0.2766096368691827,41.92924269093224,LOW,16.350000381469727,4.250999927520752
2026-01-29,70655.6875,39.099464351963896,-1.8206176749342349,39.72697815000715,LOW,16.8799991607666,4.2270002365112305
2026-01-30,70972.28125,39.066714987602296,-1.691627523524342,47.848373836250886,LOW,17.440000534057617,4.241000175476074
2026-01-31,66326.03125,44.63725581137607,-3.584654442053882,54.95918062333839,LOW,17.440000534057617,4.241000175476074
2026-02-01,64977.8984375,44.39233308893747,-3.584654442053882,52.49584313383615,LOW,17.440000534057617,4.241000175476074
2026-02-02,66692.7421875,45.55903622431505,-3.584654442053882,45.71035140895467,LOW,16.34000015258789,4.275000095367432
2026-02-03,64010.79296875,46.8410181711197,-3.584654442053882,64.62931784777103,LOW,18.0,4.27400016784668
2026-02-04,61872.94921875,46.24547375649182,-3.584654442053882,66.06108715593393,LOW,18.639999389648438,4.275000095367432
2026-02-05,53242.796875,64.89937946817473,-3.584654442053882,72.47282885401756,MEDIUM,21.770000457763672,4.210000038146973
2026-02-06,59703.96875,79.84366007701271,-0.0745676945454207,60.37712025711331,MEDIUM,20.3700008392334,4.205999851226807
